Id,Genre
1,Comedy
2,SCI-FI
3,Horror
4,Romance
5,Action
6,Thriller
7,Drama
8,Mystery
9,Crime
10,Animation
11,Adventure
12,Fantasy
13,Comedy-Romance
14,Action-Comedy
15,Superhero
